age,income,credit_amount,duration,debt_to_income_ratio,credit_history_length,purpose,employment_status,housing,savings_account,checking_account,credit_risk,credit_to_income_ratio,monthly_payment,age_group,income_group
36,22186.83779,4598.535579,40,-0.030935,3.580633891,medical,employed,rent,little,moderate,0,0.207264128,114.9633895,Middle,Low
32,11871.93039,9497.069418,19,0.77545349,0.550624558,vacation,unemployed,own,quite_rich,rich,0,0.799959999,499.8457588,Adult,Low
62,41240.21619,10472.48627,35,0.14372949,11.33789682,medical,employed,own,rich,moderate,1,0.253938685,299.2138935,Senior,Below_Avg
39,31745.31116,7357.621933,6,0.246144096,4.403050003,furniture,unemployed,own,moderate,moderate,0,0.231770352,1226.270322,Middle,Below_Avg
27,28831.31721,3187.399705,42,0.068771033,13.62514414,vacation,unemployed,rent,little,little,0,0.110553385,75.89046918,Adult,Below_Avg
49,31503.91556,1010.84586,57,0.091277547,2.121910791,furniture,employed,own,little,little,1,0.032086356,17.7341379,Middle,Below_Avg
25,72924.5738,3307.103208,42,0.043434332,5.652758894,furniture,employed,own,rich,moderate,0,0.045349641,78.74055258,Young,Average
42,65679.84916,3852.679284,27,-0.130941722,1.145127044,vacation,employed,own,little,little,0,0.058658467,142.6918253,Middle,Average
18,15625.23209,3826.312506,6,0.148171776,4.816129752,car,self-employed,rent,moderate,rich,0,0.244880363,637.718751,Young,Low
24,49609.74159,8061.420701,6,0.16307524,0.693930041,car,employed,rent,rich,little,0,0.162496728,1343.570117,Young,Below_Avg
42,26677.72149,24065.65812,43,0.911099256,0.010414034,furniture,unemployed,rent,little,little,1,0.902088213,559.6664678,Middle,Low
48,28269.7585,5425.27225,6,0.051343129,13.40692948,business,employed,own,little,little,0,0.19191081,904.2120417,Middle,Below_Avg
42,9450.893669,4132.403875,7,0.283604095,4.04721834,furniture,self-employed,free,little,little,1,0.437250065,590.3434107,Middle,Low
38,20227.67747,3994.295709,6,0.203091382,13.08241665,furniture,retired,own,moderate,little,1,0.197466848,665.7159515,Middle,Low
36,14670.41566,5428.98686,17,0.229696871,2.031063365,medical,self-employed,rent,rich,moderate,0,0.370063602,319.3521682,Middle,Low
22,33323.87571,2533.520184,14,-0.090835766,1.985893198,furniture,employed,free,moderate,little,0,0.076027177,180.9657274,Young,Below_Avg
31,37629.37409,5410.835775,58,0.099278821,2.559589448,car,employed,free,little,moderate,0,0.143792872,93.29027199,Adult,Below_Avg
34,7806.849938,7049.062224,40,0.854088364,6.121574613,education,employed,rent,moderate,little,0,0.902932973,176.2265556,Adult,Low
52,21785.12264,5812.400031,12,0.178965888,4.171349535,vacation,employed,free,little,little,0,0.266805936,484.3666693,Senior,Low
44,38597.03552,7087.114445,16,0.113244407,12.97505246,car,employed,rent,little,rich,0,0.183618103,442.9446528,Middle,Below_Avg
18,20063.56011,6953.483858,9,0.347956355,0.128850583,education,employed,own,moderate,little,0,0.346572783,772.6093175,Young,Low
43,31714.581,1190.921498,6,-0.034465061,6.158363612,car,self-employed,own,quite_rich,little,1,0.037551229,198.4869163,Middle,Below_Avg
35,26254.23882,8180.398352,36,0.318653611,2.004833874,education,employed,rent,rich,rich,0,0.311583909,227.2332876,Adult,Low
31,26129.75849,2873.218542,14,0.071912775,0.993679603,car,self-employed,rent,rich,little,0,0.109959629,205.2298958,Adult,Low
47,19232.22451,2045.359136,9,0.123115643,3.570788034,furniture,employed,own,rich,little,0,0.106350627,227.2621262,Middle,Low
52,11988.57747,2031.314781,6,0.257258072,3.516631908,furniture,employed,rent,rich,little,0,0.169437516,338.5524635,Senior,Low
51,12572.09465,6952.338024,19,0.636922373,0.736766837,medical,employed,own,rich,little,0,0.552997589,365.9125276,Senior,Low
29,31403.55108,4113.131988,9,0.259797699,1.127582173,business,employed,own,moderate,little,0,0.130976652,457.0146654,Adult,Below_Avg
36,22241.80995,1279.756332,6,0.141353008,2.622634165,medical,employed,own,little,rich,1,0.057538318,213.2927219,Middle,Low
43,20552.62353,7204.27769,37,0.374384126,2.628101067,business,self-employed,free,little,little,0,0.350528373,194.7102078,Middle,Low
51,17819.61291,1553.574207,6,0.043840223,1.910389709,car,retired,rent,moderate,little,0,0.087183387,258.9290345,Senior,Low
34,18909.23256,5496.446584,13,0.251899194,0.804044031,car,employed,rent,quite_rich,rich,0,0.290675286,422.8035834,Adult,Low
37,37177.38396,5947.933579,28,0.072210223,0.021916358,medical,employed,rent,moderate,little,1,0.159987954,212.4261992,Middle,Below_Avg
26,18627.19631,9981.23057,34,0.536294738,17.57212085,education,employed,rent,little,little,0,0.535841809,293.565605,Adult,Low
25,11265.13282,20442.01926,30,1.884366199,14.36750504,medical,unemployed,free,moderate,moderate,1,1.814627452,681.4006421,Young,Low
49,31946.75494,1649.551875,40,-0.020932349,3.304855916,car,self-employed,own,moderate,little,1,0.051634411,41.23879688,Middle,Below_Avg
56,19881.83278,4712.721886,6,0.233314806,3.580633891,car,self-employed,rent,quite_rich,little,0,0.237036592,785.4536476,Senior,Low
39,22374.96397,3939.983301,50,0.1083527,5.598990622,furniture,employed,own,little,moderate,0,0.176088923,78.79966602,Middle,Low
52,49206.90082,6953.49541,6,0.16224682,0.356714963,furniture,employed,free,rich,rich,0,0.141311387,1158.915902,Senior,Below_Avg
44,21801.18753,5840.285822,6,0.212950088,0.626218859,car,employed,free,moderate,little,1,0.267888426,973.3809703,Middle,Low
32,25453.07492,3706.943664,6,0.071687286,12.39129461,furniture,unemployed,rent,quite_rich,moderate,0,0.145638343,617.823944,Adult,Low
44,12216.44476,3453.965427,52,0.214734149,4.971966851,education,employed,own,moderate,little,0,0.282730819,66.42241206,Middle,Low
58,19735.3214,2011.909029,9,0.152277456,9.263398773,furniture,self-employed,own,rich,little,0,0.101944579,223.5454476,Senior,Low
39,29874.57379,10832.31707,6,0.352918251,11.42714795,car,employed,own,little,little,0,0.362593192,1805.386178,Middle,Below_Avg
58,10120.44722,7096.545145,6,0.658366479,2.970510931,business,employed,own,little,little,1,0.701208652,1182.757524,Senior,Low
18,24353.29765,10241.61456,6,0.446683685,0.248714335,furniture,employed,rent,little,little,0,0.420543234,1706.93576,Young,Low
49,23164.94761,3834.073488,17,0.124060235,1.043001278,education,self-employed,own,moderate,rich,0,0.165511857,225.5337346,Middle,Low
41,22485.90006,2905.996457,6,0.241888175,0.344456958,furniture,employed,free,moderate,rich,1,0.129236386,484.3327429,Middle,Low
36,36996.5317,2074.235532,16,-0.04132094,1.045832471,vacation,retired,own,little,moderate,1,0.056065675,129.6397208,Middle,Below_Avg
41,26035.57777,6549.435011,26,0.232859971,2.642682077,education,employed,free,moderate,little,0,0.251557122,251.9013466,Middle,Low
18,46121.56694,2139.153396,16,-0.094095761,0.628931945,medical,employed,rent,little,moderate,0,0.046380761,133.6970872,Young,Below_Avg
37,13402.61669,21567.23309,31,1.574493334,0.912007287,education,employed,own,moderate,moderate,1,1.609180773,695.7171964,Middle,Low
44,23575.47566,1726.559424,6,-0.094728148,2.951344755,car,self-employed,own,little,little,0,0.073235401,287.759904,Middle,Low
57,22976.64153,6117.618069,6,0.34088545,2.078872466,furniture,employed,free,quite_rich,little,0,0.266253798,1019.603012,Senior,Low
33,12905.03408,17214.09434,22,1.410555753,3.152346862,education,employed,rent,moderate,little,0,1.333905376,782.4588338,Adult,Low
30,35530.52628,7936.850455,31,0.301798185,3.580633891,education,employed,own,little,little,0,0.223381168,256.027434,Adult,Below_Avg
33,70427.3283,5656.377621,12,0.083202344,5.1708411,business,employed,own,moderate,little,0,0.080315096,471.3648017,Adult,Average
50,21839.96796,2264.735111,30,0.015709774,13.838169,car,self-employed,rent,little,rich,1,0.103696815,75.49117038,Middle,Low
43,28353.63569,1627.148946,11,-0.022646398,0.570685355,business,employed,own,moderate,little,0,0.057387665,147.9226314,Middle,Below_Avg
33,22977.23536,9100.094592,6,0.549065488,0.522693985,business,self-employed,own,little,little,1,0.396048282,1516.682432,Adult,Low
46,15416.71617,16398.05145,11,1.207221686,9.580022946,business,self-employed,rent,rich,rich,0,1.063653976,1490.73195,Middle,Low
41,8862.816311,3459.640662,6,0.402610064,3.530115651,furniture,unemployed,rent,quite_rich,moderate,0,0.390354549,576.6067769,Middle,Low
51,15477.04533,1975.843735,11,0.076099448,7.270832666,medical,employed,own,little,moderate,0,0.127662851,179.6221578,Senior,Low
31,10982.08744,687.7768611,6,0.199489494,1.213045813,furniture,employed,free,little,little,0,0.062627152,114.6294769,Adult,Low
36,51639.95838,2242.593136,6,-0.026022839,8.826441898,car,unemployed,rent,little,moderate,1,0.043427478,373.7655226,Middle,Below_Avg
35,20794.52798,4487.605427,38,0.238691956,12.87502935,vacation,self-employed,rent,moderate,little,0,0.215807035,118.0948797,Adult,Low
22,18528.03622,17664.25867,6,1.088575703,5.04591066,car,employed,own,little,little,1,0.953379973,2944.043111,Young,Low
43,34357.54459,8421.194433,6,0.161470814,0.559570951,business,employed,own,rich,moderate,0,0.245104664,1403.532405,Middle,Below_Avg
43,12570.70579,6273.36595,60,0.581968797,11.28303316,car,unemployed,own,moderate,moderate,1,0.499046438,104.5560992,Middle,Low
40,15011.44188,3568.513034,15,0.289775618,7.862823979,car,employed,own,moderate,little,0,0.237719538,237.9008689,Middle,Low
37,22789.06591,3082.411198,15,0.131306685,6.949058228,car,self-employed,free,moderate,moderate,0,0.135258339,205.4940799,Middle,Low
23,36841.65803,15131.25995,33,0.311367253,0.187098262,furniture,employed,free,quite_rich,little,1,0.410710613,458.5230287,Young,Below_Avg
34,28306.38064,5770.943317,13,0.131430316,8.021319734,car,employed,rent,little,moderate,0,0.203874292,443.9187167,Adult,Below_Avg
35,24938.36279,914.0812354,6,0.065598726,0.742215888,car,employed,rent,rich,little,0,0.036653618,152.3468726,Adult,Low
30,22903.81725,2867.420952,9,-0.01713966,1.257626242,business,employed,rent,moderate,rich,0,0.12519402,318.602328,Adult,Low
38,26906.35889,2473.593361,25,0.105007797,4.303509547,business,employed,rent,moderate,little,1,0.091933411,98.94373445,Middle,Low
44,24363.13608,3174.764682,37,0.18441528,1.539293104,vacation,unemployed,own,moderate,little,0,0.130310181,85.80445086,Middle,Low
62,13161.00885,7710.424537,6,0.684375626,3.580633891,vacation,self-employed,rent,little,little,0,0.585853609,1285.070756,Senior,Low
42,22539.83824,4509.962396,6,0.060252791,4.683365844,furniture,self-employed,rent,moderate,rich,0,0.200088499,751.6603993,Middle,Low
43,12876.45425,4621.652825,7,0.490547515,0.572284356,vacation,self-employed,own,rich,rich,0,0.358922785,660.2361178,Middle,Low
39,22937.79513,14055.63313,16,0.782308111,5.335780025,education,employed,own,little,little,1,0.612771762,878.4770707,Middle,Low
18,17321.01926,2815.319767,6,0.203552922,12.88214411,furniture,employed,own,moderate,moderate,0,0.162537766,469.2199612,Young,Low
39,78408.75032,21836.96862,40,0.174696821,0.878377883,business,unemployed,rent,little,little,0,0.278501679,545.9242155,Middle,Above_Avg
40,21591.45272,2872.545722,60,0.100229944,4.544863135,car,employed,own,moderate,little,1,0.133040873,47.87576204,Middle,Low
69,10914.85754,5278.295789,20,0.478828428,2.091728833,business,employed,rent,rich,rich,0,0.483588152,263.9147894,Senior,Low
37,20597.18911,3924.668326,60,0.217590231,3.077336358,furniture,retired,own,moderate,little,0,0.19054388,65.41113876,Middle,Low
43,28557.62837,5424.79455,6,0.192157716,1.691370549,car,employed,own,little,little,1,0.189959561,904.1324251,Middle,Below_Avg
39,50852.36822,7014.0713,30,0.166046596,2.185790095,car,unemployed,rent,little,moderate,0,0.137930082,233.8023767,Middle,Below_Avg
25,16403.89032,6953.971346,20,0.414847407,0.146690023,car,unemployed,rent,rich,rich,0,0.423922083,347.6985673,Young,Low
53,9984.468484,2690.564052,6,0.29598565,19.96392554,vacation,employed,own,little,little,0,0.269474941,448.4273421,Senior,Low
49,33137.4223,2001.532184,6,0.01434862,4.901479271,medical,employed,rent,little,little,0,0.060400962,333.5886973,Middle,Below_Avg
49,11044.64139,36407.76783,12,3.262600519,3.472796791,furniture,retired,own,moderate,little,0,3.296419191,3033.980652,Middle,Low
29,17710.665,3336.950111,28,0.13081221,2.420231636,car,employed,rent,little,little,0,0.188414727,119.1767897,Adult,Low
56,19364.36417,8598.731324,37,0.6357752,3.875850291,car,employed,rent,rich,little,1,0.444049247,232.3981439,Senior,Low
23,21272.77305,1358.161127,18,0.210235122,2.391033906,vacation,employed,own,little,rich,0,0.063845044,75.45339597,Young,Low
47,31088.15721,3929.666433,23,0.181933387,2.230716248,car,self-employed,rent,moderate,little,0,0.126403968,170.8550623,Middle,Below_Avg
66,15649.32179,4439.248982,6,0.416201275,3.117606936,medical,self-employed,own,little,moderate,0,0.283670375,739.8748303,Senior,Low
28,19209.02258,7174.2396,24,0.453328937,1.614702264,business,unemployed,own,moderate,rich,0,0.373482803,298.92665,Adult,Low
33,21869.86243,556.7056739,16,0.043582497,0.992558971,vacation,unemployed,own,moderate,moderate,0,0.025455381,34.79410462,Adult,Low
41,23737.20622,5613.403452,6,0.085924084,4.06648142,education,unemployed,own,rich,little,0,0.236481219,935.567242,Middle,Low
33,23130.64377,1959.034122,53,0.058477927,9.250082757,business,employed,rent,moderate,moderate,0,0.084694319,36.96290796,Adult,Low
21,27391.9071,6370.776043,12,0.19907498,0.829258725,education,self-employed,rent,little,rich,0,0.232578769,530.8980036,Young,Low
40,33587.85273,2145.089687,28,-0.049442473,0.16641048,vacation,employed,rent,little,little,0,0.063865044,76.61034596,Middle,Below_Avg
27,26804.28543,2479.008209,13,-0.05613071,1.41720038,vacation,employed,own,quite_rich,little,0,0.092485517,190.6929391,Adult,Low
45,27633.7398,3948.527137,48,0.192159838,19.49075915,education,self-employed,rent,moderate,little,1,0.142887903,82.26098202,Middle,Low
28,9985.490982,2117.807055,6,0.244538857,8.823389744,education,employed,own,moderate,moderate,1,0.212088425,352.9678425,Adult,Low
58,22586.63976,3359.584023,14,0.032002393,4.530044526,medical,unemployed,rent,quite_rich,little,0,0.148742091,239.9702874,Senior,Low
30,27994.23217,1891.829038,6,-0.007008607,13.24293705,medical,employed,rent,little,moderate,0,0.067579244,315.3048397,Adult,Low
36,31712.63933,1133.951414,6,0.151879308,2.946451025,business,self-employed,own,moderate,moderate,0,0.035757081,188.9919023,Middle,Below_Avg
49,15581.2666,11096.28495,6,0.624385864,20.45592856,car,employed,free,little,little,1,0.712155515,1849.380825,Middle,Low
25,15842.95756,1742.64795,11,0.127075006,1.757030281,car,employed,rent,little,moderate,1,0.109995116,158.4225409,Young,Low
42,16530.28881,4260.131426,30,0.238738867,1.374196143,vacation,employed,rent,little,little,0,0.257716697,142.0043809,Middle,Low
55,28802.19706,8976.029059,11,0.362280248,5.081221142,car,employed,rent,rich,moderate,0,0.311643901,816.0026417,Senior,Below_Avg
20,36935.94693,3005.035673,14,-0.004252741,2.375313769,car,employed,rent,little,moderate,0,0.081358024,214.6454052,Young,Below_Avg
42,17966.60339,2539.867721,46,0.150374396,4.922386722,car,unemployed,free,little,moderate,0,0.141366048,55.21451567,Middle,Low
43,34682.1754,5889.877456,25,0.186696595,1.819184925,education,self-employed,rent,little,little,1,0.169824337,235.5950982,Middle,Below_Avg
49,23429.23556,12020.2386,6,0.536062502,4.81060353,education,employed,own,little,moderate,1,0.513044421,2003.3731,Middle,Low
25,20699.34035,1928.596447,6,0.101079265,1.613067396,car,employed,rent,rich,little,0,0.09317188,321.4327412,Young,Low
24,19817.24674,4358.493436,6,0.25439529,0.261585243,car,employed,own,moderate,little,0,0.219934358,726.4155726,Young,Low
46,31994.06457,1229.059257,6,0.25759226,12.15981999,business,employed,free,quite_rich,little,0,0.038415227,204.8432095,Middle,Below_Avg
43,25920.48621,3588.319252,7,0.394565424,10.73668373,medical,self-employed,free,rich,little,0,0.138435646,512.6170361,Middle,Low
43,68728.05151,5051.112261,23,0.009572573,17.66761595,car,employed,rent,rich,little,0,0.073494187,219.6135765,Middle,Average
44,14384.22902,2480.710491,6,-0.059363856,6.3031951,car,self-employed,rent,little,little,0,0.172460442,413.4517486,Middle,Low
31,28539.68492,3409.791869,8,0.179024986,5.739871631,education,employed,free,little,little,0,0.119475456,426.2239836,Adult,Below_Avg
42,16905.58797,1593.070532,9,0.112858616,4.093586826,vacation,employed,own,moderate,moderate,0,0.09423337,177.0078369,Middle,Low
43,14262.03665,5227.36648,16,0.472627328,0.673045102,business,self-employed,rent,moderate,little,0,0.366523142,326.710405,Middle,Low
31,21907.10805,11436.38707,40,0.550528607,1.048887081,business,employed,own,moderate,little,1,0.522040017,285.9096766,Adult,Low
62,23592.31352,2043.225374,60,0.092465948,1.708718352,vacation,self-employed,rent,little,little,1,0.086605554,34.05375624,Senior,Low
45,94758.49515,2986.515454,16,0.144407786,11.04348701,car,self-employed,own,little,moderate,1,0.031517126,186.6572159,Middle,Above_Avg
25,20088.98818,7346.92397,12,0.492597024,0.94956867,car,self-employed,rent,little,moderate,0,0.365718965,612.2436642,Young,Low
47,12517.84663,12960.6429,20,0.896717193,12.81152064,education,employed,own,little,rich,0,1.035373199,648.0321452,Middle,Low
28,25248.07916,1488.386833,19,-0.022710121,3.69894846,vacation,unemployed,own,moderate,moderate,0,0.058950498,78.33614912,Adult,Low
49,7806.250057,4293.992407,13,0.539511785,6.286334099,education,self-employed,own,little,little,0,0.550071081,330.3071082,Middle,Low
53,21036.65368,6164.144618,24,0.302863019,0.584042791,medical,employed,own,little,moderate,1,0.293019256,256.8393591,Senior,Low
30,22203.66493,4529.445875,12,0.181397096,1.566938573,business,employed,own,little,little,0,0.203995416,377.4538229,Adult,Low
51,32771.03063,677.6062361,60,0.064097707,15.91255171,business,employed,rent,little,little,1,0.020676989,11.29343727,Senior,Below_Avg
44,35839.68667,7338.369863,6,0.304365892,1.547252793,car,employed,rent,little,rich,0,0.204755413,1223.061644,Middle,Below_Avg
49,17123.63909,16571.98803,10,1.140055211,1.758591388,car,retired,own,little,little,1,0.967784239,1657.198803,Middle,Low
62,20428.63746,5395.547746,9,0.32200817,1.100723916,business,employed,rent,moderate,moderate,1,0.264116868,599.5053051,Senior,Low
37,15017.02122,2154.071729,26,0.058208644,3.580633891,car,unemployed,rent,moderate,rich,0,0.143442011,82.84891264,Middle,Low
30,12531.09861,3260.051275,6,0.245419238,1.32802221,car,employed,own,moderate,little,0,0.260156861,543.3418792,Adult,Low
29,25718.02507,20250.41273,10,0.779866323,5.140679079,medical,employed,own,moderate,little,0,0.787401547,2025.041273,Adult,Low
30,11651.69831,10177.8598,21,0.924972721,3.038222262,vacation,retired,rent,little,little,0,0.873508697,484.6599907,Adult,Low
39,17902.33714,8201.081335,16,0.496917959,4.034445123,car,employed,own,little,little,0,0.458101156,512.5675835,Middle,Low
44,13392.00304,6536.323084,14,0.693116248,0.652621471,business,employed,own,rich,little,1,0.488076583,466.8802203,Middle,Low
43,28993.92468,2896.013196,10,0.053732135,8.100382691,car,unemployed,free,moderate,rich,0,0.099883449,289.6013196,Middle,Below_Avg
49,54215.11644,4186.176454,25,0.115689246,7.66457698,car,unemployed,rent,little,rich,1,0.077214193,167.4470582,Middle,Average
40,11489.6971,4617.745193,18,0.637374267,0.109131915,education,self-employed,own,quite_rich,moderate,1,0.401903127,256.5413996,Middle,Low
57,8721.013686,7628.598716,37,0.816216926,2.418607204,business,unemployed,rent,moderate,moderate,1,0.874737615,206.1783437,Senior,Low
36,20693.12001,16434.45156,23,0.808713693,0.356248162,car,self-employed,rent,little,little,0,0.794198823,714.5413723,Middle,Low
72,22200.02953,12024.12719,6,0.44713858,7.853629418,furniture,employed,rent,little,moderate,0,0.54162663,2004.021198,Senior,Low
47,24571.184,1578.913949,17,0.072467455,6.68313592,car,self-employed,own,little,little,0,0.064258765,92.87729109,Middle,Low
29,17620.87825,5879.317573,6,0.255634615,11.6133316,medical,retired,own,quite_rich,little,0,0.33365633,979.8862621,Adult,Low
27,19924.00073,8860.962537,8,0.549418206,1.348581859,business,employed,rent,little,little,0,0.444738116,1107.620317,Adult,Low
45,26469.67998,8063.381304,9,0.319358965,3.046750415,furniture,employed,own,little,moderate,0,0.304627079,895.931256,Middle,Low
37,37057.10745,2970.87853,34,-0.01336945,1.019694958,car,employed,free,moderate,little,1,0.080170276,87.37878028,Middle,Below_Avg
48,8287.26779,50578.77863,6,6.187247822,2.319987984,education,self-employed,own,little,little,1,6.103191053,8429.796438,Middle,Low
45,18316.00012,1769.287762,18,0.114564537,3.693267853,education,employed,own,little,moderate,0,0.096597933,98.29376455,Middle,Low
39,24511.66479,2066.164446,6,0.179574987,0.274027749,vacation,self-employed,free,rich,moderate,0,0.08429311,344.3607409,Middle,Low
29,13919.02583,5924.645097,53,0.310884582,6.274057513,car,employed,own,little,little,1,0.425650844,111.7857566,Adult,Low
21,52343.59273,26727.3441,13,0.547495922,3.918570103,medical,self-employed,own,quite_rich,little,1,0.510613481,2055.949546,Young,Below_Avg
34,16031.24741,2517.556631,22,0.234374764,8.829260429,furniture,employed,rent,moderate,rich,0,0.157040595,114.4343923,Adult,Low
50,21576.3623,3973.240579,18,0.141810094,1.585763834,car,employed,own,rich,little,0,0.184147843,220.7355877,Middle,Low
42,29085.96541,11635.71979,6,0.274145579,11.68180078,furniture,self-employed,rent,moderate,moderate,0,0.400045851,1939.286632,Middle,Below_Avg
25,16388.86805,4845.037557,41,0.291469037,33.20490006,education,employed,own,moderate,little,0,0.295629786,118.1716477,Young,Low
42,8749.164386,3760.536515,17,0.552628178,12.58498676,medical,employed,own,little,moderate,1,0.429816649,221.2080303,Middle,Low
44,17777.2128,7727.234546,12,0.54726379,7.522968356,business,employed,own,moderate,moderate,0,0.434670757,643.9362121,Middle,Low
29,36854.03089,6112.030935,13,0.123001456,8.366384801,education,employed,rent,little,rich,0,0.165844299,470.1562258,Adult,Below_Avg
41,18611.82549,11207.64068,39,0.473869931,4.263578716,car,employed,own,little,little,0,0.602178475,287.3754021,Middle,Low
40,14425.93416,13810.37101,6,0.914211436,1.054555018,car,retired,own,little,little,0,0.957329408,2301.728501,Middle,Low
26,34990.648,6282.997459,8,0.132714427,5.65114462,education,self-employed,rent,little,rich,0,0.179562192,785.3746824,Adult,Below_Avg
44,18668.86705,6206.709605,33,0.377107789,6.237064067,business,unemployed,free,little,little,1,0.33246311,188.0821093,Middle,Low
46,17067.29935,5833.012011,6,0.331265227,21.12858239,business,employed,rent,rich,rich,0,0.341765378,972.1686684,Middle,Low
52,23735.5225,7268.494356,18,0.230902117,3.896808735,car,employed,own,little,moderate,0,0.306228538,403.805242,Senior,Low
52,32382.55416,5136.54786,9,0.269047144,1.582939343,car,employed,rent,little,little,0,0.158620837,570.72754,Senior,Below_Avg
23,72464.84059,4912.376983,6,0.081832386,5.754886392,furniture,self-employed,rent,quite_rich,rich,1,0.067789799,818.7294971,Young,Average
28,33310.17064,12801.29602,17,0.427847493,19.40645544,medical,employed,rent,moderate,little,0,0.384305928,753.0174132,Adult,Below_Avg
46,39336.96666,16529.35127,32,0.247700386,0.975295125,education,self-employed,rent,quite_rich,moderate,1,0.420198929,516.5422271,Middle,Below_Avg
46,17103.13229,1471.382397,11,-0.156396491,1.972610399,furniture,employed,free,quite_rich,moderate,0,0.086029996,133.7620361,Middle,Low
46,13188.04409,4954.328517,6,0.231913602,3.903131012,furniture,employed,rent,little,moderate,0,0.37566818,825.7214195,Middle,Low
80,22723.74461,2832.86672,6,0.076611146,0.932941039,car,employed,own,quite_rich,moderate,0,0.124665488,472.1444534,Senior,Low
46,23238.94834,3832.309208,60,0.222544493,0.112356186,furniture,self-employed,rent,little,moderate,1,0.164908891,63.87182013,Middle,Low
53,12845.43314,6781.902646,6,0.293737475,2.054774164,business,employed,rent,quite_rich,moderate,0,0.527962162,1130.317108,Senior,Low
51,20178.09189,8396.335984,6,0.575396701,10.02615479,medical,employed,rent,moderate,little,1,0.416111495,1399.389331,Senior,Low
